ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	nomenclaturalCode	status	code
https://id.biodiversity.org.au/name/fungi/60031312	species	Aecidium urticae Schumach.		Aecidium	urticae		Schumach.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031173	species	Aecidium veronicae Berk. ex Cooke		Aecidium	veronicae		Berk. ex Cooke	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031174	species	Aecidium vittadiniae McAlpine		Aecidium	vittadiniae		McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015404	genus	Aegerita Pers.	Aegerita				Pers.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60028226	species	Aegerita queenslandica Matsush.		Aegerita	queenslandica		Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015863	genus	Aethalium Link	Aethalium				Link	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60032785	species	Aethalium septicum (L.) Fr.		Aethalium	septicum		(L.) Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013485	family	Agaricaceae	Agaricaceae					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013218	order	Agaricales	Agaricales					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013116	class	Agaricomycetes	Agaricomycetes					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013153	subclass	Agaricomycetidae	Agaricomycetidae					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013090	subphylum	Agaricomycotina	Agaricomycotina					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013583	family	Agaricostilbaceae	Agaricostilbaceae					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013240	order	Agaricostilbales	Agaricostilbales					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60013121	class	Agaricostilbomycetes	Agaricostilbomycetes					botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015601	genus	Agaricostilbum J.E.Wright	Agaricostilbum				J.E.Wright	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031085	species	Agaricostilbum pulcherrimum (Berk. & Broome) B.L.Brady, B.Sutton & Samson		Agaricostilbum	pulcherrimum		(Berk. & Broome) B.L.Brady, B.Sutton & Samson	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60015006	genus	Agaricus L.	Agaricus				L.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024927	species	Agaricus abbreviatus Kalchbr.		Agaricus	abbreviatus		Kalchbr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60027157	species	Agaricus abietinus Bull.		Agaricus	abietinus		Bull.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60025650	species	Agaricus abstrusus Fr.		Agaricus	abstrusus		Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60026125	species	Agaricus acerbus Bull.		Agaricus	acerbus		Bull.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024930	species	Agaricus acerinus Fr.		Agaricus	acerinus		Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60074854	species	Agaricus acuminatus Schaeff.		Agaricus	acuminatus		Schaeff.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024549	species	Agaricus acutatus Kalchbr. & F.Muell.		Agaricus	acutatus		Kalchbr. & F.Muell.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60022435	species	Agaricus acutesquamosus Weinm.		Agaricus	acutesquamosus		Weinm.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60074637	species	Agaricus acutus Pers.		Agaricus	acutus		Pers.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60025653	species	Agaricus adiposus Batsch		Agaricus	adiposus		Batsch	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024551	species	Agaricus adonis Bull.		Agaricus	adonis		Bull.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024700	species	Agaricus adscendens Lasch		Agaricus	adscendens		Lasch	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60025555	species	Agaricus adustus Cooke & Massee		Agaricus	adustus		Cooke & Massee	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60030115	species	Agaricus adustus Pers.		Agaricus	adustus		Pers.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60074590	species	Agaricus aegerita V.Brig.		Agaricus	aegerita		V.Brig.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60025791	species	Agaricus aeruginosus Curtis		Agaricus	aeruginosus		Curtis	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60023537	species	Agaricus aethiops Scop.		Agaricus	aethiops		Scop.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024553	species	Agaricus aetites Fr.		Agaricus	aetites		Fr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60024360	species	Agaricus affixus Berk.		Agaricus	affixus		Berk.	botanical		botanical
